| 입력(KST) | 성별 | 자체 방향 | manseryeok forward | 자체 정밀(년/월/일) | manseryeok(년/월/일) | 자체 C/D | manseryeok startAge | 자체 1~5 | manseryeok 1~5 | 판정 |
|---|---|---|---|---|---|---|---|---|---|---|
| 1990-08-17 10:00 | M | forward | forward | 7/3/13 | 7/3/13 | 7/7 | 7 | 乙酉 丙戌 丁亥 戊子 己丑 | 乙酉 丙戌 丁亥 戊子 己丑 | PASS |
| 1990-08-17 10:00 | F | backward | backward | 3/1/1 | 3/1/1 | 3/3 | 3 | 癸未 壬午 辛巳 庚辰 己卯 | 癸未 壬午 辛巳 庚辰 己卯 | PASS |
| 2000-01-01 12:00 | F | forward | forward | 1/7/20 | 1/7/20 | 1/2 | 2 | 丁丑 戊寅 己卯 庚辰 辛巳 | 丁丑 戊寅 己卯 庚辰 辛巳 | PASS |
| 2000-01-01 12:00 | M | backward | backward | 8/2/6 | 8/2/6 | 8/8 | 8 | 乙亥 甲戌 癸酉 壬申 辛未 | 乙亥 甲戌 癸酉 壬申 辛未 | PASS |
| 2023-11-11 4:30 | M | backward | backward | 1/0/15 | 1/0/14 | 1/1 | 1 | 壬戌 辛酉 庚申 己未 戊午 | 壬戌 辛酉 庚申 己未 戊午 | **FAIL** |
| 1982-03-21 14:20 | F | backward | backward | 5/1/7 | 5/1/7 | 5/5 | 5 | 壬寅 辛丑 庚子 己亥 戊戌 | 壬寅 辛丑 庚子 己亥 戊戌 | PASS |
| 1990-05-05 23:30 | M | forward | forward | 0/0/20 | 0/0/20 | 0/0 | 1 | 辛巳 壬午 癸未 甲申 乙酉 | 辛巳 壬午 癸未 甲申 乙酉 | PASS |
| 2024-02-04 18:00 | F | backward | backward | 0/0/3 | 0/0/3 | 0/0 | 1 | 乙丑 甲子 癸亥 壬戌 辛酉 | 乙丑 甲子 癸亥 壬戌 辛酉 | PASS |

통과 7/8
