## 절기 3자 대조 + KASI 심판 (2020~2026, n=167)
| 구현 | KASI 분단위 일치 | 비율 |
|---|---|---|
| 자체 오라클(VSOP87+USNO ΔT) | 163/167 | 97.60% |
| manseryeok v2.0.0 | 163/167 | 97.60% |
| sxtwl | 143/167 | 85.63% |
| Skyfield DE440s(참조) | 164/167 | 98.20% |

## 불일치 전량 (28건) — 심판 = Skyfield DE440s
| 연도 | 절기 | KASI | 자체 | manseryeok | sxtwl | DE440s | 심판 |
|---|---|---|---|---|---|---|---|
| 2020 | 상강 | 2020-10-23 08:00 | 2020-10-23 07:59:30 | 2020-10-23 08:00:00 | 2020-10-23 07:59:25 | 2020-10-23 07:59:33 | KASI 옳음 (일치: 자체+ms) |
| 2020 | 대설 | 2020-12-07 01:09 | 2020-12-07 01:09:29 | 2020-12-07 01:10:00 | 2020-12-07 01:09:21 | 2020-12-07 01:09:30 | KASI≠DE440s |
| 2022 | 소만 | 2022-05-21 10:23 | 2022-05-21 10:22:33 | 2022-05-21 10:23:00 | 2022-05-21 10:22:25 | 2022-05-21 10:22:35 | KASI 옳음 (일치: 자체+ms) |
| 2022 | 입동 | 2022-11-07 19:45 | 2022-11-07 19:45:28 | 2022-11-07 19:46:00 | 2022-11-07 19:45:18 | 2022-11-07 19:45:29 | KASI 옳음 (일치: 자체+sx) |
| 2022 | 소설 | 2022-11-22 17:20 | 2022-11-22 17:20:28 | 2022-11-22 17:21:00 | 2022-11-22 17:20:18 | 2022-11-22 17:20:30 | KASI≠DE440s |
| 2023 | 대한 | 2023-01-20 17:30 | 2023-01-20 17:29:32 | 2023-01-20 17:30:00 | 2023-01-20 17:29:20 | 2023-01-20 17:29:34 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 입춘 | 2023-02-04 11:43 | 2023-02-04 11:42:32 | 2023-02-04 11:43:00 | 2023-02-04 11:42:20 | 2023-02-04 11:42:33 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 곡우 | 2023-04-20 17:14 | 2023-04-20 17:13:36 | 2023-04-20 17:14:00 | 2023-04-20 17:13:25 | 2023-04-20 17:13:38 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 소서 | 2023-07-07 17:31 | 2023-07-07 17:30:40 | 2023-07-07 17:31:00 | 2023-07-07 17:30:29 | 2023-07-07 17:30:42 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 한로 | 2023-10-08 22:16 | 2023-10-08 22:15:33 | 2023-10-08 22:16:00 | 2023-10-08 22:15:22 | 2023-10-08 22:15:35 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 입동 | 2023-11-08 01:36 | 2023-11-08 01:35:34 | 2023-11-08 01:36:00 | 2023-11-08 01:35:22 | 2023-11-08 01:35:36 | KASI 옳음 (일치: 자체+ms) |
| 2023 | 소설 | 2023-11-22 23:03 | 2023-11-22 23:02:41 | 2023-11-22 23:03:00 | 2023-11-22 23:02:29 | 2023-11-22 23:02:42 | KASI 옳음 (일치: 자체+ms) |
| 2024 | 소만 | 2024-05-20 22:00 | 2024-05-20 21:59:29 | 2024-05-20 22:00:00 | 2024-05-20 21:59:16 | 2024-05-20 21:59:30 | KASI 옳음 (일치: ms) |
| 2024 | 추분 | 2024-09-22 21:44 | 2024-09-22 21:43:38 | 2024-09-22 21:44:00 | 2024-09-22 21:43:26 | 2024-09-22 21:43:40 | KASI 옳음 (일치: 자체+ms) |
| 2024 | 소설 | 2024-11-22 04:56 | 2024-11-22 04:56:28 | 2024-11-22 04:57:00 | 2024-11-22 04:56:16 | 2024-11-22 04:56:30 | KASI≠DE440s |
| 2024 | 동지 | 2024-12-21 18:21 | 2024-12-21 18:20:33 | 2024-12-21 18:21:00 | 2024-12-21 18:20:19 | 2024-12-21 18:20:34 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 우수 | 2025-02-18 19:07 | 2025-02-18 19:06:33 | 2025-02-18 19:07:00 | 2025-02-18 19:06:18 | 2025-02-18 19:06:34 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 청명 | 2025-04-04 21:49 | 2025-04-04 21:48:32 | 2025-04-04 21:49:00 | 2025-04-04 21:48:20 | 2025-04-04 21:48:34 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 소만 | 2025-05-21 03:55 | 2025-05-21 03:54:36 | 2025-05-21 03:55:00 | 2025-05-21 03:54:22 | 2025-05-21 03:54:38 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 망종 | 2025-06-05 18:57 | 2025-06-05 18:56:29 | 2025-06-05 18:57:00 | 2025-06-05 18:56:16 | 2025-06-05 18:56:31 | KASI 옳음 (일치: ms) |
| 2025 | 입추 | 2025-08-07 14:52 | 2025-08-07 14:51:33 | 2025-08-07 14:52:00 | 2025-08-07 14:51:18 | 2025-08-07 14:51:35 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 소설 | 2025-11-22 10:36 | 2025-11-22 10:35:33 | 2025-11-22 10:36:00 | 2025-11-22 10:35:18 | 2025-11-22 10:35:35 | KASI 옳음 (일치: 자체+ms) |
| 2025 | 대설 | 2025-12-07 06:05 | 2025-12-07 06:04:33 | 2025-12-07 06:05:00 | 2025-12-07 06:04:19 | 2025-12-07 06:04:35 | KASI 옳음 (일치: 자체+ms) |
| 2026 | 입하 | 2026-05-05 20:49 | 2026-05-05 20:48:42 | 2026-05-05 20:49:00 | 2026-05-05 20:48:26 | 2026-05-05 20:48:44 | KASI 옳음 (일치: 자체+ms) |
| 2026 | 소만 | 2026-05-21 09:37 | 2026-05-21 09:36:43 | 2026-05-21 09:37:00 | 2026-05-21 09:36:27 | 2026-05-21 09:36:44 | KASI 옳음 (일치: 자체+ms) |
| 2026 | 하지 | 2026-06-21 17:25 | 2026-06-21 17:24:29 | 2026-06-21 17:25:00 | 2026-06-21 17:24:12 | 2026-06-21 17:24:30 | KASI 옳음 (일치: ms) |
| 2026 | 입추 | 2026-08-07 20:43 | 2026-08-07 20:42:42 | 2026-08-07 20:43:00 | 2026-08-07 20:42:25 | 2026-08-07 20:42:45 | KASI 옳음 (일치: 자체+ms) |
| 2026 | 대설 | 2026-12-07 11:53 | 2026-12-07 11:52:29 | 2026-12-07 11:53:00 | 2026-12-07 11:52:13 | 2026-12-07 11:52:31 | KASI 옳음 (일치: ms) |
